species;habitat;venom_stat(threat_to_humans);threat_to_humans;model_predictions
Poecilia-latipinna;"Marine; freshwater; brackish;  benthopelagic; non-migratory; depth range 0 - ? m (Ref. 55263). Subtropical; 20°C - 28°C (Ref. 2060); 40°N -   16°N, 103°W -   76°W (Ref. 55263)";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.00763 - 0.02175), b=3.05 (2.91 - 3.19), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; mutiple spawning per year; Fec=10--300).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
Latimeria-chalumnae;"Marine;  demersal; non-migratory; depth range 150 - 700 m (Ref. 38430), usually 180 - 250 m (Ref. 27564). Deep-water; 13°C - 25°C (Ref. 38429); 3°S -   34°S, 25°E -   51°E (Ref. 46167)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 13.4 - 18.3, mean 15.6 °C (based on 16 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.2539   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01230 (0.00844 - 0.01794), b=3.03 (2.92 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.72 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (K=0.02; tmax=85; tm=40-69; Fec=5).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100)."
Chelonia-mydas;NA;nonvenomous;NA;NA
Notothenia-coriiceps;"Marine;  demersal; depth range 0 - 550 m. Polar; 46°S -   78°S, 180°W -   180°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): -1.7 - 2.4, mean -0.6 °C (based on 170 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00661 (0.00540 - 0.00808), b=3.21 (3.15 - 3.27), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.8   ±0.35 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Assuming tm>4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (60 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Stegastes-partitus;"Marine;  reef-associated; non-migratory; depth range 0 - 100 m (Ref. 9626). Tropical; 33°N -   5°S, 98°W -   34°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 24.2 - 28, mean 26.9 °C (based on 262 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01230 (0.00569 - 0.02662), b=3.06 (2.87 - 3.25), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 123 [65, 204] mg/100g ; Iron = 0.889 [0.533, 1.467] mg/100g ; Protein = 18.2 [17.1, 19.3] % ; Omega3 = 0.157 [0.098, 0.256] g/100g ; Selenium = 30.7 [16.8, 59.7] μg/100g ; VitaminA = 111 [31, 375] μg/100g ; Zinc = 2.37 [1.62, 3.37] mg/100g (wet weight);"
Rana-temporaria;NA;nonvenomous;NA;NA
Cyprinus-carpio;"Freshwater; brackish;  benthopelagic; pH range: 6.5 - 9.0; dH range: 10 - 15; potamodromous (Ref. 51243); depth range 0 - 29 m (Ref. 120823). Subtropical; 3°C - 35°C (Ref. 12741); 54°N -   34°N, 12°E -   74°E (Ref. 59043)";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01778 (0.01633 - 0.01937), b=2.95 (2.92 - 2.98), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 5.4 (3.7 - 6.5) years. Estimated as median ln(3)/K based on 42 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.10-0.30; tm=1-3; tmax=20; Fec=36,000-2,000,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (42 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Xenopus-laevis;NA;nonvenomous;NA;NA
Silurus-meridionalis;"Freshwater;  demersal. Subtropical";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Oncorhynchus-keta;"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 250 m (Ref. 50550), usually ? - 61 m (Ref. 96339). Temperate; 0°C - 24°C (Ref. 35682); 67°N -   24°N, 130°E -   110°W (Ref. 117423)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 1.1 - 8.3, mean 3.3 °C (based on 192 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01445 (0.00741 - 0.02819), b=3.10 (2.94 - 3.26), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.27-0.45; tm=2-5; tmax=6).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 7 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (71 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium."
Carassius-gibelio;"Freshwater; brackish;  benthopelagic; pH range: 7.1 - 7.5; dH range: 12 - ?; potamodromous (Ref. 51243); depth range 0 - ? m. Temperate; 10°C - 20°C (Ref. 2059); 62°N -   35°N, 10°W -   155°E";nonvenomous;Potential pest (Ref. 83969);"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01349 (0.01150 - 0.01583), b=3.04 (3.00 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.5   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 6.1 (4.7 - 6.1) years. Estimated as median ln(3)/K based on 21 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.13; tm=1-4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (51 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Solea-senegalensis;"Marine;  demersal; depth range 12 - 100 m (Ref. 5304). Tropical; 47°N -   16°S, 19°W -   14°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 13.6 - 21.6, mean 18.6 °C (based on 46 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00813 (0.00541 - 0.01221), b=3.06 (2.94 - 3.18), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.45 se; based on food items.					

				
					
					
						 Generation time: 6.2 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (43 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Engystomops-pustulosus;NA;nonvenomous;NA;NA
Albula-glossodonta;"Brackish;  reef-associated; oceanodromous (Ref. 51243); depth range ? - 10 m (Ref. 89972). Tropical; 32°N -   32°S, 42°E -   139°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 24.6 - 29.3, mean 28.1 °C (based on 2148 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5007   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01318 (0.00552 - 0.03150), b=3.04 (2.83 - 3.25), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.2 se; based on size and trophs of closest relatives					

				
					
					
						 Generation time: 10.6 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (54 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Astyanax-mexicanus;"Freshwater;  benthopelagic; potamodromous (Ref. 47195). Subtropical; 36°N -   24°N";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Hymenochirus-boettgeri;NA;nonvenomous;NA;NA
Nematolebias-whitei;"Freshwater;  benthopelagic; pH range: 6.5 - 7.0; dH range: 5 - 8; non-migratory. Tropical; 20°C - 23°C (Ref. 1672)";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00891 (0.00396 - 0.02008), b=3.14 (2.94 - 3.34), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=0.1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
Megalops-atlanticus;"Marine; freshwater; brackish;  reef-associated; amphidromous (Ref. 51243); depth range 0 - 40 m (Ref. 3789), usually 0 - 15 m (Ref. 42064). Subtropical; 10°C - 40°C (Ref. 93687); 49°N -   44°S, 99°W -   14°E (Ref. 55254)";nonvenomous;Reports of ciguatera poisoning (Ref. 31172);"Preferred temperature (Ref. 123201): 19.6 - 28, mean 27 °C (based on 1409 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01000 (0.00409 - 0.02444), b=3.02 (2.81 - 3.23), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.07-0.10; tmax=55; Fec>1 million).					
								
					
						 Prior r = 0.34, 95% CL = 0.21 - 0.55, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (76 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (67 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium."
